ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
RWA,Kigali Ville (PVK) 2000,1681662,Wife beating justified for at least one specific reason [Men],41.7,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442021,1442021,Region,..Kigali Ville (PVK) 2000,0,,0,1,WEAWBTMAGR,RWDHS2000442021,2000,DHS,176,496,,,1
RWA,Kigali Rurale 2000,7573074,Wife beating justified for at least one specific reason [Men],50.6,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442022,1442022,Region,..Kigali Rurale 2000,0,,0,1,WEAWBTMAGR,RWDHS2000442022,2000,DHS,330,237,,,1
RWA,Butare/Gitarama,6973650,Women with secondary or higher education,8.5,1,RW,Rwanda,2000,RW2000DHS,ED_EDUC_W_SEH,231203100,I,442006,1442006,Region,Butare/Gitarama,0,,0,1,EDEDUCWSEH,RWDHS2000442006,2000,DHS,2059,1897,,,
RWA,Butare,2718535,Women with secondary or higher education,8.4,1,RW,Rwanda,2000,RW2000DHS,ED_EDUC_W_SEH,231203100,I,442007,1442007,Region,..Butare,0,,0,1,EDEDUCWSEH,RWDHS2000442007,2000,DHS,922,993,,,1
RWA,Gitarama,7140800,Women with secondary or higher education,8.5,1,RW,Rwanda,2000,RW2000DHS,ED_EDUC_W_SEH,231203100,I,442008,1442008,Region,..Gitarama,0,,0,1,EDEDUCWSEH,RWDHS2000442008,2000,DHS,1137,904,,,1
RWA,Byumba/Kibungo,2945816,Women with secondary or higher education,6.9,1,RW,Rwanda,2000,RW2000DHS,ED_EDUC_W_SEH,231203100,I,442009,1442009,Region,Byumba/Kibungo,0,,0,1,EDEDUCWSEH,RWDHS2000442009,2000,DHS,2112,2100,,,
RWA,Byumba,3301894,Women with secondary or higher education,5.9,1,RW,Rwanda,2000,RW2000DHS,ED_EDUC_W_SEH,231203100,I,442010,1442010,Region,..Byumba,0,,0,1,EDEDUCWSEH,RWDHS2000442010,2000,DHS,878,742,,,1
RWA,Kibungo,7373856,Women with secondary or higher education,9.2,1,RW,Rwanda,2000,RW2000DHS,ED_EDUC_W_SEH,231203100,I,442011,1442011,Region,..Kibungo,0,,0,1,EDEDUCWSEH,RWDHS2000442011,2000,DHS,890,871,,,1
RWA,Umutara,4641460,Women with secondary or higher education,3.5,1,RW,Rwanda,2000,RW2000DHS,ED_EDUC_W_SEH,231203100,I,442012,1442012,Region,..Umutara,0,,0,1,EDEDUCWSEH,RWDHS2000442012,2000,DHS,345,487,,,1
RWA,Cyangugu/Ginkongoro,4826670,Women with secondary or higher education,8.9,1,RW,Rwanda,2000,RW2000DHS,ED_EDUC_W_SEH,231203100,I,442013,1442013,Region,Cyangugu/Ginkongoro,0,,0,1,EDEDUCWSEH,RWDHS2000442013,2000,DHS,1400,1551,,,
RWA,Cyangugu,2904281,Women with secondary or higher education,11.9,1,RW,Rwanda,2000,RW2000DHS,ED_EDUC_W_SEH,231203100,I,442014,1442014,Region,..Cyangugu,0,,0,1,EDEDUCWSEH,RWDHS2000442014,2000,DHS,782,849,,,1
RWA,Gikongoro,5829476,Women with secondary or higher education,5.1,1,RW,Rwanda,2000,RW2000DHS,ED_EDUC_W_SEH,231203100,I,442015,1442015,Region,..Gikongoro,0,,0,1,EDEDUCWSEH,RWDHS2000442015,2000,DHS,618,702,,,1
RWA,Kibuye/Ruhengeri/Gisenyi,6203783,Women with secondary or higher education,9.6,1,RW,Rwanda,2000,RW2000DHS,ED_EDUC_W_SEH,231203100,I,442016,1442016,Region,Kibuye/Ruhengeri/Gisenyi,0,,0,1,EDEDUCWSEH,RWDHS2000442016,2000,DHS,2863,2188,,,
